id,category,price,brand,item name,size
1,Large Bottled Drinks,2.15,Coca-Cola,Coca-Cola Original Taste 1.5L PM £2.15 or 2 for £3.30,1.5Ltr
2,Large Bottled Drinks,1.15,Evian,Evian Natural Mineral Water 1.5L,1.5Ltr
3,Large Bottled Drinks,1.99,Coca-Cola,Diet Coke 1.75L PM £1.99 or 2 for £3,1.75Ltr
4,Large Bottled Drinks,2.15,Coca-Cola,Coca-Cola Cherry 1.5L PM £2.15 or 2 for £3.30,1.5Ltr
5,Large Bottled Drinks,1.89,Dr Pepper,Dr Pepper 2L PM £1.89,2Ltr
6,Large Bottled Drinks,1.89,Fanta,Fanta Orange 2L PM £1.89,2Ltr
7,Large Bottled Drinks,1.89,Fanta,Fanta Fruit Twist 2L PM £1.89,2Ltr
8,Large Bottled Drinks,1.69,Sprite,Sprite 2L PM £1.69,2Ltr
9,Large Bottled Drinks,0.59,Best-One,Best-One Soda Water 1 Litre,1Ltr
10,Large Bottled Drinks,0.59,Best-One,Best-One Indian Tonic Water 1 Litre,1Ltr
11,Large Bottled Drinks,0.59,Best-One,Best-One Indian Tonic Water Low Calorie 1 Litre,1Ltr
12,Large Bottled Drinks,1.39,R.White's,R.White's Premium Lemonade 2L,2Ltr
13,Large Bottled Drinks,1.5,Coca-Cola,Coca-Cola Original Taste 1L PM £1.50,1Ltr
14,Large Bottled Drinks,1.39,S.Pellegrino,San Pellegrino Sparkling Natural Mineral Water 1L,1Ltr
15,Large Bottled Drinks,2.59,Pepsi,Pepsi 1.5L,1.5Ltr
16,Large Bottled Drinks,3.19,Grace,Grace Say Aloe Vera Drink Original Flavour 1.5L,1.5Ltr
17,Large Bottled Drinks,1.79,Lipton,Lipton Ice Tea Peach Flavoured Still Soft Drink 1.25L,1.25Ltr
18,Large Bottled Drinks,1.99,Pepsi,Diet Pepsi 1.5L,1.5Ltr
19,Large Bottled Drinks,1.79,Lipton,Lipton Ice Tea Lemon Flavoured Still Soft Drink 1.25L,1.25Ltr
20,Large Bottled Drinks,2.59,7UP,7UP Regular 1.5 Litres,1.5Ltr
21,Large Bottled Drinks,2.25,Coca-Cola,Diet Coke 1.75L,1.75Ltr
22,Large Bottled Drinks,2.59,Coca-Cola,Coca-Cola Original Taste 1.5L,1.5Ltr
23,Large Bottled Drinks,1.99,Tango,Tango Original Orange 1.5 Litres,1.5Ltr
24,Large Bottled Drinks,2.19,7UP,7UP Free 1.5 Litres,1.5Ltr
25,Large Bottled Drinks,2.49,Cawston Press,Cawston Press Apple & Ginger 1 Litre,1Ltr
26,Large Bottled Drinks,2.49,Cawston Press,Cawston Press Apple & Rhubarb 1 Litre,1Ltr
27,Large Bottled Drinks,2.49,Cawston Press,Cawston Press Apple & Elderflower 1 Litre,1Ltr
28,Large Bottled Drinks,2.25,Coca-Cola,Coca-Cola Zero Sugar 1.75L,1.75Ltr
29,Large Bottled Drinks,1.19,R.White’s,R.White's Premium Lemonade 1.5L,1.5Ltr
30,Large Bottled Drinks,1.99,Coca-Cola,Diet Coke 1.5L,1.5Ltr
31,Large Bottled Drinks,1.5,Schweppes,Schweppes Original Lemonade 1.5L,1.5Ltr
32,Bottled Fruit Juice,1.15,Grace,Grace Say Aloe Vera Drink Original Flavour £1.15 PMP 500ml,500ml
33,Bottled Fruit Juice,1.15,Grace,Grace Say Aloe Vera Drink Strawberry Flavour £1.15 PMP 500ml,500ml
34,Bottled Fruit Juice,1.15,Grace,Grace Say Aloe Vera Drink Mango Flavour £1.15 PMP 500ml,500ml
35,Bottled Fruit Juice,0.79,Robinsons Fruit Shoot,Robinsons Fruit Shoot Apple and Blackcurrant 275ml,275ml
36,Bottled Fruit Juice,1.0,Drench,Drench Juicy Spring Water Peach & Mango 12 x 500ml,500ml
37,Bottled Fruit Juice,1.15,Grace,Grace Say Aloe Reduced Sugar Drink Original Flavour 500ml,500ml
38,Bottled Fruit Juice,1.49,Drench,Drench Tropical 500ml,500ml
39,Bottled Fruit Juice,0.79,Robinsons Fruit Shoot,Robinsons Fruit Shoot Orange Juice Drink 275ml,275ml
40,Bottled Fruit Juice,2.69,Shloer,Shloer Red Grape Sparkling Juice Drink 750ml,750ml
41,Bottled Fruit Juice,1.49,Drench,Drench Berry 500ml,500ml
42,Bottled Fruit Juice,1.49,Drench,Drench Citrus 500ml,500ml
43,Bottled Fruit Juice,1.99,White Pearl,White Pearl Apple Non-Alcoholic Sparkling Juice Drink 750ml,750ml
44,Bottled Fruit Juice,1.99,White Pearl,White Pearl White Grape & Peach Non-Alcoholic Sparkling Juice Drink 750ml,750ml
45,Bottled Fruit Juice,1.99,White Pearl,White Pearl Apple Non-Alcoholic Sparkling Juice Drink 750ml,750ml
46,Bottled Fruit Juice,0.79,Schweppes,Schweppes Orange Juice 200ml Glass (Case of 24),200ml
47,Bottled Fruit Juice,0.79,Schweppes,Schweppes Tomato Juice Mix 24 x 200ml Glass,200ml
48,Bottled Fruit Juice,2.69,Shloer,Shloer White Grape Sparkling Juice Drink 750ml,750ml
49,Bottled Fruit Juice,1.99,White Pearl,White Pearl White Grape & Peach Non-Alcoholic Sparkling Juice Drink 750ml,750ml
50,Bottled Fruit Juice,1.99,White Pearl,White Pearl White Grape Non-Alcoholic Sparkling Juice Drink 750ml,750ml
51,Bottled Fruit Juice,1.99,White Pearl,White Pearl White Grape Non-Alcoholic Sparkling Juice Drink 750ml,750ml
52,Bottled Fruit Juice,0.75,Schweppes,Schweppes Pineapple Juice 125ml,125ml
53,Bottled Fruit Juice,0.75,Schweppes,Schweppes Tomato Juice 125ml,125ml
54,Bottled Fruit Juice,0.75,Schweppes,Schweppes Orange Juice 125ml,125ml
55,Energy and Health Drinks,1.35,Monster,Monster Energy 500ml £1.35,500ml
56,Energy and Health Drinks,1.29,Red Bull,"Red Bull Energy Drink, PM £1.29, 250ml (24 Pack)",250ml
57,Energy and Health Drinks,0.49,Boost,Boost Energy Original 250ml,250ml
58,Energy and Health Drinks,1.0,Relentless,Relentless Origin 500ml PMP £1,500ml
59,Energy and Health Drinks,1.09,Lucozade,Lucozade Energy Orange 380ml PMP £1.09 or 2 for £2,380ml
60,Energy and Health Drinks,1.99,Red Bull,"Red Bull Energy Drink, 473ml, PM £1.99 (12 Pack)",473ml
61,Energy and Health Drinks,1.09,Lucozade,Lucozade Sport Orange 500ml £1.09 or 2 for £2,500ml
62,Energy and Health Drinks,1.35,Monster,Monster Mango Loco 500ml PMP £1.35,500ml
63,Energy and Health Drinks,1.35,Monster,Monster Pipeline Punch 500ml PMP £1.35,500ml
64,Energy and Health Drinks,0.39,Best-One,Best-One Energy Drink 250ml,250ml
65,Energy and Health Drinks,1.39,Monster,Monster Energy Pacific Punch 500ml PM £1.39,500ml
66,Energy and Health Drinks,0.49,Best-One,Best-One Sport Isotonic Drink Orange 500ml,500ml
